"","control_rep1","control_rep2","treated_rep1","treated_rep2"
"Gene16137",11,13,8,12
"Gene16138",17,11,25,25
"Gene16139",16,9,12,13
"Gene16140",9,12,12,9
"Gene16141",16,15,17,27
"Gene16142",9,8,19,7
"Gene16143",17,5,7,14
"Gene16144",12,9,12,25
"Gene16145",5,16,10,5
"Gene16146",8,11,11,7
"Gene16147",12,13,14,5
"Gene16148",20,13,4,10
"Gene16149",21,17,19,18
"Gene16150",16,22,8,10
"Gene16151",21,7,26,5
"Gene16152",19,12,11,19
"Gene16153",31,10,18,15
"Gene16154",20,19,17,8
"Gene16155",15,29,19,15
"Gene16156",21,33,5,11
"Gene16157",13,8,18,15
"Gene16158",7,15,10,27
"Gene16159",17,5,16,22
"Gene16160",13,9,8,20
"Gene16161",21,5,15,11
"Gene16162",14,16,7,21
"Gene16163",13,10,19,14
"Gene16164",10,16,12,7
"Gene16165",10,14,20,6
"Gene16166",10,9,7,10
"Gene16167",8,6,4,16
"Gene16168",5,6,13,9
"Gene16169",11,10,10,7
"Gene16170",15,6,31,6
"Gene16171",21,11,16,12
"Gene16172",22,22,10,17
"Gene16173",15,14,5,12
"Gene16174",13,18,13,9
"Gene16175",7,10,15,13
"Gene16176",15,11,5,16
"Gene16177",6,11,6,6
"Gene16178",18,7,12,13
"Gene16179",13,16,10,16
"Gene16180",13,15,18,4
"Gene16181",10,7,14,14
"Gene16182",12,10,13,14
"Gene16183",6,24,10,7
"Gene16184",5,9,11,4
"Gene16185",9,7,13,12
"Gene16186",4,11,6,17
"Gene16187",11,21,19,11
"Gene16188",8,5,12,25
"Gene16189",12,5,5,21
"Gene16190",25,27,16,9
"Gene16191",13,17,9,8
"Gene16192",6,3,13,18
"Gene16193",10,10,10,10
"Gene16194",7,16,15,10
"Gene16195",13,16,14,5
"Gene16196",7,12,11,6
"Gene16197",11,21,25,15
"Gene16198",11,20,8,6
"Gene16199",8,19,15,16
"Gene16200",8,10,13,20
"Gene16201",11,13,17,17
"Gene16202",6,10,30,6
"Gene16203",5,10,8,13
"Gene16204",6,11,5,12
"Gene16205",11,13,7,28
"Gene16206",15,18,14,16
"Gene16207",11,20,8,21
"Gene16208",10,8,12,8
"Gene16209",14,12,16,5
"Gene16210",13,13,8,18
"Gene16211",5,9,11,14
"Gene16212",8,27,14,14
"Gene16213",18,14,15,21
"Gene16214",13,9,3,16
"Gene16215",14,26,17,14
"Gene16216",20,10,19,16
"Gene16217",18,17,10,9
"Gene16218",8,12,17,10
"Gene16219",9,24,7,8
"Gene16220",11,16,16,22
"Gene16221",23,13,11,12
"Gene16222",8,9,5,10
"Gene16223",8,15,11,14
"Gene16224",9,12,14,6
"Gene16225",13,13,13,13
"Gene16226",12,19,12,5
"Gene16227",11,18,5,9
"Gene16228",13,9,13,8
"Gene16229",11,13,22,16
"Gene16230",23,6,12,33
"Gene16231",14,10,7,7
"Gene16232",7,6,20,5
"Gene16233",12,13,26,19
"Gene16234",16,17,12,26
"Gene16235",22,15,18,3
"Gene16236",8,21,9,25
"Gene16237",16,4,17,5
"Gene16238",21,13,14,24
"Gene16239",14,6,10,11
"Gene16240",7,17,10,17
"Gene16241",13,13,10,6
"Gene16242",6,13,9,4
"Gene16243",12,21,7,6
"Gene16244",9,15,22,13
"Gene16245",11,10,8,13
"Gene16246",10,17,21,10
"Gene16247",11,12,13,8
"Gene16248",8,16,25,6
"Gene16249",21,15,19,15
"Gene16250",25,11,1,18
"Gene16251",12,15,18,12
"Gene16252",3,13,21,16
"Gene16253",9,12,10,28
"Gene16254",26,9,17,10
"Gene16255",4,19,11,12
"Gene16256",10,6,18,12
"Gene16257",11,12,4,18
"Gene16258",12,6,10,9
"Gene16259",7,13,10,8
"Gene16260",9,24,15,17
"Gene16261",18,14,4,13
"Gene16262",16,9,15,14
"Gene16263",12,9,15,20
"Gene16264",9,11,11,21
"Gene16265",8,6,9,4
"Gene16266",20,10,16,12
"Gene16267",15,5,12,15
"Gene16268",29,17,3,10
"Gene16269",7,9,23,24
"Gene16270",24,22,12,16
"Gene16271",14,9,15,28
"Gene16272",12,13,5,6
"Gene16273",8,9,16,24
"Gene16274",24,6,25,14
"Gene16275",16,9,6,14
"Gene16276",10,7,7,8
"Gene16277",7,15,21,24
"Gene16278",11,20,7,8
"Gene16279",14,7,12,22
"Gene16280",8,13,6,30
"Gene16281",6,11,4,5
"Gene16282",14,8,12,12
"Gene16283",8,11,7,12
"Gene16284",14,13,16,10
"Gene16285",8,13,15,22
"Gene16286",7,12,10,9
"Gene16287",20,11,21,17
"Gene16288",7,12,17,22
"Gene16289",17,16,4,15
"Gene16290",20,7,28,10
"Gene16291",7,17,19,13
"Gene16292",11,14,12,9
"Gene16293",25,22,17,3
"Gene16294",12,3,24,6
"Gene16295",6,7,10,6
"Gene16296",18,15,10,10
"Gene16297",8,17,5,14
"Gene16298",6,5,9,7
"Gene16299",20,24,6,2
"Gene16300",5,4,10,11
"Gene16301",17,15,8,13
"Gene16302",7,5,17,11
"Gene16303",9,10,22,20
"Gene16304",9,5,9,6
"Gene16305",3,19,10,11
"Gene16306",10,6,11,11
"Gene16307",36,16,8,11
"Gene16308",12,1,14,11
"Gene16309",9,15,11,9
"Gene16310",8,7,7,8
"Gene16311",4,10,12,12
"Gene16312",3,9,11,7
"Gene16313",10,8,12,15
"Gene16314",11,7,11,14
"Gene16315",16,6,16,9
"Gene16316",12,6,14,13
"Gene16317",13,15,15,12
"Gene16318",5,11,7,5
"Gene16319",14,19,10,9
"Gene16320",13,24,10,11
"Gene16321",13,14,10,5
"Gene16322",20,7,8,10
"Gene16323",10,16,23,17
"Gene16324",13,9,8,14
"Gene16325",12,17,7,13
"Gene16326",7,14,17,8
"Gene16327",6,12,17,8
"Gene16328",13,7,12,10
"Gene16329",16,14,10,10
"Gene16330",17,12,9,5
"Gene16331",10,11,10,14
"Gene16332",10,9,12,10
"Gene16333",11,12,10,30
"Gene16334",10,24,19,10
"Gene16335",7,14,7,15
"Gene16336",10,15,18,12
"Gene16337",9,20,24,16
"Gene16338",18,29,10,14
"Gene16339",22,7,14,15
"Gene16340",9,5,12,10
"Gene16341",11,20,6,3
"Gene16342",11,6,24,11
"Gene16343",13,10,10,16
"Gene16344",25,26,10,7
"Gene16345",14,14,22,13
"Gene16346",17,16,20,8
"Gene16347",12,9,12,17
"Gene16348",7,18,6,9
"Gene16349",8,21,12,17
"Gene16350",18,4,4,10
"Gene16351",23,6,11,3
"Gene16352",16,10,6,13
"Gene16353",15,28,52,10
"Gene16354",18,17,13,18
"Gene16355",11,20,17,17
"Gene16356",15,7,3,14
"Gene16357",22,18,14,2
"Gene16358",24,4,11,4
"Gene16359",20,24,8,24
"Gene16360",9,20,14,16
"Gene16361",2,7,4,2
"Gene16362",9,10,31,22
"Gene16363",13,19,4,8
"Gene16364",6,32,5,6
"Gene16365",10,8,11,10
"Gene16366",16,5,8,16
"Gene16367",5,31,10,12
"Gene16368",8,7,13,12
"Gene16369",7,11,19,10
"Gene16370",17,15,11,15
"Gene16371",10,8,23,10
"Gene16372",17,13,12,14
"Gene16373",15,21,13,8
"Gene16374",9,15,15,11
"Gene16375",12,12,15,5
"Gene16376",6,7,13,6
"Gene16377",12,4,7,12
"Gene16378",7,5,6,5
"Gene16379",14,12,12,12
"Gene16380",12,6,10,7
"Gene16381",16,6,8,8
"Gene16382",13,9,17,15
"Gene16383",10,13,13,8
"Gene16384",16,7,9,10
"Gene16385",12,7,17,9
"Gene16386",4,14,9,19
"Gene16387",9,11,11,19
"Gene16388",4,15,23,11
"Gene16389",23,14,10,8
"Gene16390",4,9,13,33
"Gene16391",17,9,13,7
"Gene16392",6,9,4,17
"Gene16393",21,16,21,16
"Gene16394",5,31,19,10
"Gene16395",25,14,20,8
"Gene16396",18,4,8,2
"Gene16397",17,14,20,15
"Gene16398",20,7,14,10
"Gene16399",3,41,19,12
"Gene16400",11,11,12,9
"Gene16401",5,4,15,5
"Gene16402",12,17,18,8
"Gene16403",15,9,13,9
"Gene16404",16,18,6,16
"Gene16405",7,9,13,10
"Gene16406",13,8,8,20
"Gene16407",2,23,14,3
"Gene16408",5,6,14,9
"Gene16409",24,4,9,12
"Gene16410",9,14,6,16
"Gene16411",13,16,11,3
"Gene16412",14,10,15,18
"Gene16413",27,5,12,14
"Gene16414",11,13,17,17
"Gene16415",17,13,21,6
"Gene16416",7,12,14,13
"Gene16417",11,8,8,9
"Gene16418",9,8,9,9
"Gene16419",15,15,8,15
"Gene16420",10,12,6,7
"Gene16421",20,36,10,21
"Gene16422",13,14,13,8
"Gene16423",8,10,17,10
"Gene16424",9,12,13,14
"Gene16425",13,12,3,22
"Gene16426",11,13,11,7
"Gene16427",4,11,4,17
"Gene16428",17,26,7,8
"Gene16429",6,14,11,8
"Gene16430",9,13,17,10
"Gene16431",29,19,12,12
"Gene16432",19,6,12,10
"Gene16433",11,16,12,12
"Gene16434",23,13,24,7
"Gene16435",13,12,16,10
"Gene16436",27,14,8,11
"Gene16437",8,22,8,8
"Gene16438",16,8,20,8
"Gene16439",16,7,11,13
"Gene16440",6,10,24,7
"Gene16441",3,7,7,17
"Gene16442",8,11,21,11
"Gene16443",24,12,4,21
"Gene16444",12,12,25,12
"Gene16445",14,23,13,12
"Gene16446",7,7,8,6
"Gene16447",11,4,22,12
"Gene16448",9,21,6,17
"Gene16449",20,11,24,12
"Gene16450",22,27,20,17
"Gene16451",12,4,18,24
"Gene16452",7,6,7,5
"Gene16453",11,15,11,24
"Gene16454",4,19,10,8
"Gene16455",16,9,15,11
"Gene16456",8,14,16,10
"Gene16457",10,19,17,9
"Gene16458",14,12,15,15
"Gene16459",9,4,14,8
"Gene16460",17,10,14,7
"Gene16461",8,4,9,17
"Gene16462",2,16,8,7
"Gene16463",26,11,15,24
"Gene16464",25,8,11,15
"Gene16465",22,11,6,3
"Gene16466",17,18,3,27
"Gene16467",10,15,9,5
"Gene16468",6,6,15,9
"Gene16469",4,9,3,8
"Gene16470",5,8,6,18
"Gene16471",6,24,19,33
"Gene16472",24,12,34,20
"Gene16473",8,16,20,7
"Gene16474",12,13,20,15
"Gene16475",12,7,12,16
"Gene16476",9,12,2,7
"Gene16477",10,17,13,15
"Gene16478",13,13,13,11
"Gene16479",11,26,12,13
"Gene16480",19,21,11,10
"Gene16481",13,25,3,14
"Gene16482",15,4,10,14
"Gene16483",15,12,22,12
"Gene16484",26,13,5,11
"Gene16485",18,7,6,27
"Gene16486",9,3,5,7
"Gene16487",9,10,23,12
"Gene16488",5,10,6,15
"Gene16489",13,20,17,8
"Gene16490",21,14,20,25
"Gene16491",6,15,13,7
"Gene16492",13,13,15,16
"Gene16493",25,11,11,37
"Gene16494",17,18,6,8
"Gene16495",18,3,26,5
"Gene16496",4,12,5,7
"Gene16497",19,15,10,17
"Gene16498",9,11,16,8
"Gene16499",6,17,11,21
"Gene16500",17,8,11,7
"Gene16501",10,3,11,12
"Gene16502",8,6,8,14
"Gene16503",8,16,5,22
"Gene16504",28,7,17,6
"Gene16505",14,19,9,13
"Gene16506",32,18,7,9
"Gene16507",14,13,19,14
"Gene16508",23,10,7,21
"Gene16509",9,6,14,13
"Gene16510",14,11,21,7
"Gene16511",28,9,9,15
"Gene16512",5,21,10,24
"Gene16513",5,8,5,11
"Gene16514",8,23,7,15
"Gene16515",16,6,6,10
"Gene16516",6,10,14,12
"Gene16517",9,8,6,15
"Gene16518",13,14,15,24
"Gene16519",18,4,18,13
"Gene16520",10,13,14,9
"Gene16521",21,8,9,16
"Gene16522",9,12,22,14
"Gene16523",10,15,12,11
"Gene16524",2,17,18,16
"Gene16525",18,19,9,9
"Gene16526",13,28,18,12
"Gene16527",10,4,4,12
"Gene16528",19,7,8,10
"Gene16529",10,10,9,22
"Gene16530",8,10,28,15
"Gene16531",22,11,19,24
"Gene16532",20,8,11,21
"Gene16533",6,14,8,4
"Gene16534",5,8,9,12
"Gene16535",25,10,14,14
"Gene16536",15,21,9,4
"Gene16537",18,13,5,16
"Gene16538",11,12,21,8
"Gene16539",9,21,15,17
"Gene16540",10,15,10,4
"Gene16541",38,5,24,7
"Gene16542",6,16,33,11
"Gene16543",7,7,13,15
"Gene16544",7,4,7,7
"Gene16545",8,13,13,4
"Gene16546",19,10,13,6
"Gene16547",19,7,10,7
"Gene16548",6,9,12,4
"Gene16549",3,29,4,32
"Gene16550",4,15,12,9
"Gene16551",15,8,10,13
"Gene16552",18,4,15,6
"Gene16553",10,15,5,20
"Gene16554",18,6,13,13
"Gene16555",8,12,7,8
"Gene16556",12,12,16,15
"Gene16557",14,11,9,13
"Gene16558",22,5,13,7
"Gene16559",6,16,6,13
"Gene16560",21,8,11,12
"Gene16561",11,14,32,20
"Gene16562",6,11,7,25
"Gene16563",11,15,14,17
"Gene16564",14,13,8,19
"Gene16565",15,17,10,10
"Gene16566",18,17,13,8
"Gene16567",13,10,28,10
"Gene16568",8,10,9,13
"Gene16569",5,7,9,21
"Gene16570",18,5,11,5
"Gene16571",11,14,11,9
"Gene16572",14,7,6,21
"Gene16573",10,17,6,12
"Gene16574",11,6,14,11
"Gene16575",15,8,7,21
"Gene16576",6,18,19,13
"Gene16577",12,12,15,8
"Gene16578",9,13,18,21
"Gene16579",3,7,6,19
"Gene16580",11,9,17,10
"Gene16581",7,11,9,13
"Gene16582",12,15,13,11
"Gene16583",8,10,16,8
"Gene16584",10,11,6,12
"Gene16585",4,19,14,10
"Gene16586",17,22,17,20
"Gene16587",12,28,11,9
"Gene16588",13,27,12,8
"Gene16589",16,9,11,8
"Gene16590",17,16,11,14
"Gene16591",15,6,17,16
"Gene16592",23,14,16,9
"Gene16593",15,4,9,11
"Gene16594",3,11,13,14
"Gene16595",9,5,19,33
"Gene16596",19,12,23,24
"Gene16597",12,10,10,28
"Gene16598",18,16,4,8
"Gene16599",5,16,14,21
"Gene16600",16,19,12,17
"Gene16601",16,24,12,12
"Gene16602",22,31,11,8
"Gene16603",8,9,17,7
"Gene16604",20,13,12,10
"Gene16605",18,6,14,28
"Gene16606",17,12,6,8
"Gene16607",7,16,24,12
"Gene16608",9,9,8,16
"Gene16609",12,11,15,16
"Gene16610",18,27,10,12
"Gene16611",9,26,8,12
"Gene16612",9,29,7,4
"Gene16613",6,10,4,10
"Gene16614",9,12,11,11
"Gene16615",2,19,8,8
"Gene16616",13,6,13,17
"Gene16617",15,19,16,12
"Gene16618",24,9,5,25
"Gene16619",10,12,12,9
"Gene16620",11,9,6,7
"Gene16621",14,17,26,14
"Gene16622",20,7,11,6
"Gene16623",19,23,12,11
"Gene16624",12,13,10,13
"Gene16625",20,25,11,8
"Gene16626",8,4,13,14
"Gene16627",14,8,13,10
"Gene16628",8,14,9,2
"Gene16629",21,10,13,21
"Gene16630",9,5,4,1
"Gene16631",25,10,12,21
"Gene16632",16,7,11,20
"Gene16633",16,20,11,12
"Gene16634",11,11,12,24
"Gene16635",7,6,23,6
"Gene16636",11,12,3,19
"Gene16637",16,13,14,14
"Gene16638",9,7,24,22
"Gene16639",10,35,8,10
"Gene16640",7,11,6,18
"Gene16641",14,9,14,13
"Gene16642",6,14,9,18
"Gene16643",18,22,12,6
"Gene16644",7,20,9,14
"Gene16645",26,9,14,19
"Gene16646",11,16,12,9
"Gene16647",13,10,10,10
"Gene16648",11,7,12,12
"Gene16649",21,4,5,9
"Gene16650",25,15,2,13
"Gene16651",13,7,13,11
"Gene16652",9,14,18,12
"Gene16653",18,15,8,24
"Gene16654",15,7,7,10
"Gene16655",17,7,16,11
"Gene16656",8,9,6,16
"Gene16657",21,6,12,15
"Gene16658",9,9,26,13
"Gene16659",6,9,17,6
"Gene16660",18,9,6,16
"Gene16661",9,10,14,8
"Gene16662",13,6,9,1
"Gene16663",15,8,19,17
"Gene16664",12,25,6,11
"Gene16665",17,9,13,4
"Gene16666",13,7,16,6
"Gene16667",6,7,7,15
"Gene16668",28,6,11,8
"Gene16669",22,15,17,12
"Gene16670",8,12,6,15
"Gene16671",19,7,14,12
"Gene16672",11,28,15,24
"Gene16673",5,6,12,19
"Gene16674",9,9,11,9
"Gene16675",13,12,10,11
"Gene16676",15,13,8,12
"Gene16677",17,11,29,9
"Gene16678",12,15,19,16
"Gene16679",12,16,32,14
"Gene16680",27,16,6,26
"Gene16681",12,8,21,19
"Gene16682",22,3,12,17
"Gene16683",14,10,12,14
"Gene16684",4,27,13,17
"Gene16685",1,8,5,12
"Gene16686",14,28,8,11
"Gene16687",25,8,22,8
"Gene16688",6,23,2,12
"Gene16689",17,10,22,10
"Gene16690",7,9,6,7
"Gene16691",11,11,21,10
"Gene16692",10,17,12,12
"Gene16693",22,14,21,12
"Gene16694",29,14,7,21
"Gene16695",14,6,20,28
"Gene16696",15,14,12,12
"Gene16697",16,8,17,11
"Gene16698",12,6,14,13
"Gene16699",20,9,22,12
"Gene16700",20,12,6,13
"Gene16701",7,12,18,14
"Gene16702",6,19,21,26
"Gene16703",10,3,7,17
"Gene16704",10,27,6,13
"Gene16705",7,19,22,15
"Gene16706",20,14,6,11
"Gene16707",7,15,3,6
"Gene16708",18,9,8,15
"Gene16709",27,6,14,12
"Gene16710",21,20,23,5
"Gene16711",10,10,17,15
"Gene16712",6,16,22,11
"Gene16713",2,9,18,14
"Gene16714",12,9,8,10
"Gene16715",19,9,8,19
"Gene16716",15,17,13,14
"Gene16717",21,9,3,25
"Gene16718",14,13,4,20
"Gene16719",7,10,10,11
"Gene16720",22,5,21,22
"Gene16721",21,8,11,11
"Gene16722",7,15,14,14
"Gene16723",8,5,28,18
"Gene16724",5,18,15,7
"Gene16725",8,4,7,13
"Gene16726",16,13,8,13
"Gene16727",31,10,25,15
"Gene16728",8,11,14,19
"Gene16729",6,16,12,10
"Gene16730",18,8,8,8
"Gene16731",14,11,13,15
"Gene16732",10,22,16,16
"Gene16733",9,7,10,11
"Gene16734",14,6,4,11
"Gene16735",14,4,12,16
"Gene16736",8,11,17,11
"Gene16737",7,13,13,10
"Gene16738",13,19,16,7
"Gene16739",9,13,17,19
"Gene16740",11,8,15,8
"Gene16741",9,15,18,16
"Gene16742",16,15,13,16
"Gene16743",13,12,25,15
"Gene16744",10,9,17,11
"Gene16745",4,6,13,7
"Gene16746",4,20,7,7
"Gene16747",7,32,26,15
"Gene16748",11,13,10,9
"Gene16749",11,7,41,6
"Gene16750",24,12,4,26
"Gene16751",13,10,8,20
"Gene16752",10,8,11,15
"Gene16753",11,10,28,6
"Gene16754",17,11,9,5
"Gene16755",18,12,15,21
"Gene16756",9,7,11,14
"Gene16757",8,20,12,9
"Gene16758",8,17,13,17
"Gene16759",10,7,10,15
"Gene16760",6,15,8,19
"Gene16761",10,17,11,7
"Gene16762",11,12,20,6
"Gene16763",7,7,15,22
"Gene16764",4,6,21,13
"Gene16765",6,11,17,13
"Gene16766",13,14,8,30
"Gene16767",13,8,10,22
"Gene16768",6,12,6,8
"Gene16769",7,9,14,11
"Gene16770",17,12,18,17
"Gene16771",9,7,15,10
"Gene16772",20,15,20,10
"Gene16773",15,13,24,26
"Gene16774",14,14,14,43
"Gene16775",4,17,17,12
"Gene16776",3,20,13,10
"Gene16777",11,10,7,13
"Gene16778",3,15,9,27
"Gene16779",12,9,7,25
"Gene16780",17,4,14,13
"Gene16781",10,7,7,14
"Gene16782",7,15,8,10
"Gene16783",16,2,4,13
"Gene16784",17,8,8,13
"Gene16785",18,10,18,22
"Gene16786",13,9,13,17
"Gene16787",8,20,7,9
"Gene16788",10,13,8,8
"Gene16789",11,12,10,11
"Gene16790",7,9,9,12
"Gene16791",12,7,13,5
"Gene16792",8,11,19,5
"Gene16793",21,8,13,7
"Gene16794",9,12,1,5
"Gene16795",16,9,14,18
"Gene16796",13,15,8,24
"Gene16797",21,15,13,12
"Gene16798",22,33,10,20
"Gene16799",11,14,27,15
"Gene16800",8,11,12,23
"Gene16801",20,18,11,7
"Gene16802",8,23,12,9
"Gene16803",6,12,16,15
"Gene16804",12,22,30,8
"Gene16805",17,19,6,3
"Gene16806",9,10,26,9
"Gene16807",9,20,10,6
"Gene16808",16,20,6,14
"Gene16809",5,14,18,21
"Gene16810",13,18,19,13
"Gene16811",10,8,6,11
"Gene16812",13,14,10,8
"Gene16813",25,6,12,12
"Gene16814",7,22,9,22
"Gene16815",20,13,2,8
"Gene16816",17,15,17,7
"Gene16817",9,12,17,12
"Gene16818",15,6,12,12
"Gene16819",22,8,4,12
"Gene16820",18,8,7,4
"Gene16821",15,12,11,17
"Gene16822",28,12,14,14
"Gene16823",12,17,12,11
"Gene16824",15,12,5,16
"Gene16825",10,10,9,25
"Gene16826",11,6,14,9
"Gene16827",17,12,5,10
"Gene16828",9,7,25,6
"Gene16829",9,9,15,21
"Gene16830",13,10,16,28
"Gene16831",13,18,20,21
"Gene16832",7,20,12,12
"Gene16833",24,8,14,10
"Gene16834",21,8,12,8
"Gene16835",12,13,21,9
"Gene16836",11,8,11,7
"Gene16837",14,8,13,7
"Gene16838",22,10,21,12
"Gene16839",5,13,15,10
"Gene16840",15,7,6,6
"Gene16841",20,4,15,8
"Gene16842",21,12,17,18
"Gene16843",4,15,8,8
"Gene16844",13,10,6,17
"Gene16845",8,16,15,14
"Gene16846",6,8,7,9
"Gene16847",9,10,18,29
"Gene16848",23,17,30,9
"Gene16849",23,8,14,11
"Gene16850",6,7,9,13
"Gene16851",15,22,16,7
"Gene16852",6,12,12,11
"Gene16853",12,4,7,10
"Gene16854",12,8,17,12
"Gene16855",11,13,6,28
"Gene16856",24,7,6,8
"Gene16857",8,10,16,14
"Gene16858",18,10,12,12
"Gene16859",12,10,9,13
"Gene16860",17,4,32,44
"Gene16861",10,10,3,5
"Gene16862",4,9,14,7
"Gene16863",10,11,13,21
"Gene16864",8,13,13,25
"Gene16865",11,6,8,15
"Gene16866",5,9,24,24
"Gene16867",17,9,13,21
"Gene16868",23,11,15,11
"Gene16869",10,14,22,4
"Gene16870",9,14,21,16
"Gene16871",15,13,7,27
"Gene16872",6,20,11,13
"Gene16873",20,17,5,18
"Gene16874",11,21,22,16
"Gene16875",17,16,16,15
"Gene16876",13,12,17,13
"Gene16877",16,25,10,11
"Gene16878",14,17,21,20
"Gene16879",10,20,7,5
"Gene16880",20,13,16,10
"Gene16881",13,9,6,13
"Gene16882",11,9,8,11
"Gene16883",13,13,11,5
"Gene16884",19,10,7,7
"Gene16885",21,9,22,8
"Gene16886",13,11,10,14
"Gene16887",5,9,16,7
"Gene16888",9,12,21,11
"Gene16889",9,12,20,7
"Gene16890",10,3,16,11
"Gene16891",6,4,15,13
"Gene16892",12,8,15,14
"Gene16893",15,24,13,8
"Gene16894",11,4,9,14
"Gene16895",18,9,7,21
"Gene16896",6,7,17,14
"Gene16897",17,8,15,7
"Gene16898",14,24,12,17
"Gene16899",11,3,18,12
"Gene16900",24,13,4,16
"Gene16901",16,5,14,6
"Gene16902",26,20,6,14
"Gene16903",14,14,9,19
"Gene16904",6,11,13,22
"Gene16905",21,8,13,20
"Gene16906",21,13,10,6
"Gene16907",1,11,7,16
"Gene16908",13,13,7,7
"Gene16909",8,8,6,20
"Gene16910",4,32,20,4
"Gene16911",15,6,9,7
"Gene16912",21,16,17,8
"Gene16913",6,3,17,18
"Gene16914",10,10,12,17
"Gene16915",13,9,18,15
"Gene16916",8,16,17,8
"Gene16917",13,34,13,36
"Gene16918",13,11,8,8
"Gene16919",8,18,17,12
"Gene16920",13,17,9,9
"Gene16921",9,12,35,7
"Gene16922",18,5,10,12
"Gene16923",19,26,5,18
"Gene16924",11,8,12,6
"Gene16925",22,8,23,30
"Gene16926",4,7,3,11
"Gene16927",13,6,16,23
"Gene16928",16,11,5,16
"Gene16929",12,13,2,16
"Gene16930",13,7,4,6
"Gene16931",17,14,14,4
"Gene16932",9,9,15,18
"Gene16933",6,18,17,7
"Gene16934",7,9,15,8
"Gene16935",14,19,7,15
"Gene16936",9,10,15,19
"Gene16937",7,13,18,8
"Gene16938",17,3,13,10
"Gene16939",14,9,6,12
"Gene16940",6,6,13,7
"Gene16941",10,20,9,18
"Gene16942",9,12,6,13
"Gene16943",16,15,11,16
"Gene16944",6,12,7,12
"Gene16945",15,13,5,15
"Gene16946",12,7,8,9
"Gene16947",18,21,8,18
"Gene16948",9,10,13,21
"Gene16949",4,14,5,9
"Gene16950",11,19,12,4
"Gene16951",6,11,6,16
"Gene16952",26,12,20,4
"Gene16953",12,8,14,24
"Gene16954",9,31,11,15
"Gene16955",6,23,8,12
"Gene16956",4,9,18,12
"Gene16957",11,8,15,12
"Gene16958",5,13,4,8
"Gene16959",6,27,8,11
"Gene16960",11,12,10,6
"Gene16961",25,14,13,9
"Gene16962",12,11,22,20
"Gene16963",16,17,9,8
"Gene16964",21,16,9,10
"Gene16965",9,10,7,9
"Gene16966",12,15,14,24
"Gene16967",15,15,27,12
"Gene16968",14,6,4,14
"Gene16969",11,12,13,19
"Gene16970",20,15,10,11
"Gene16971",12,32,11,5
"Gene16972",11,7,4,21
"Gene16973",11,11,9,13
"Gene16974",9,16,7,9
"Gene16975",14,5,11,5
"Gene16976",9,11,11,6
"Gene16977",24,11,17,18
"Gene16978",11,8,24,11
"Gene16979",7,13,12,8
"Gene16980",10,19,12,16
"Gene16981",20,13,23,15
"Gene16982",9,9,13,12
"Gene16983",11,16,13,12
"Gene16984",8,6,4,33
"Gene16985",4,16,6,7
"Gene16986",7,8,12,14
"Gene16987",4,10,11,17
"Gene16988",17,10,22,31
"Gene16989",10,16,13,18
"Gene16990",13,8,10,12
"Gene16991",11,12,4,15
"Gene16992",8,15,12,15
"Gene16993",17,18,12,20
"Gene16994",12,12,9,12
"Gene16995",21,8,3,32
"Gene16996",13,8,9,10
"Gene16997",4,8,17,13
"Gene16998",30,12,12,11
"Gene16999",16,13,25,12
"Gene17000",14,16,7,23
"Gene17001",19,8,8,15
"Gene17002",6,12,3,6
"Gene17003",14,10,16,5
"Gene17004",5,17,4,6
"Gene17005",10,17,11,9
"Gene17006",15,1,22,17
"Gene17007",11,5,11,17
"Gene17008",10,11,9,11
"Gene17009",7,5,18,14
"Gene17010",22,13,36,23
"Gene17011",6,18,9,10
"Gene17012",9,9,19,9
"Gene17013",16,15,18,7
"Gene17014",16,8,11,17
"Gene17015",8,12,15,22
"Gene17016",11,42,19,11
"Gene17017",8,21,14,22
"Gene17018",9,3,12,14
"Gene17019",8,13,7,16
"Gene17020",12,8,5,9
"Gene17021",11,8,7,23
"Gene17022",23,10,8,17
"Gene17023",21,16,11,7
"Gene17024",7,8,19,8
"Gene17025",8,11,9,11
"Gene17026",13,14,10,6
"Gene17027",8,11,7,20
"Gene17028",8,27,10,25
"Gene17029",9,16,9,12
"Gene17030",13,5,14,11
"Gene17031",10,8,13,17
"Gene17032",15,7,6,24
"Gene17033",10,18,16,8
"Gene17034",10,4,6,6
"Gene17035",11,13,16,11
"Gene17036",6,9,17,16
"Gene17037",12,13,7,15
"Gene17038",8,15,10,3
"Gene17039",13,13,18,6
"Gene17040",5,12,5,2
"Gene17041",13,16,7,11
"Gene17042",13,8,8,25
"Gene17043",10,5,17,10
"Gene17044",13,15,10,15
"Gene17045",26,11,20,8
"Gene17046",21,17,6,10
"Gene17047",22,9,13,15
"Gene17048",17,22,12,13
"Gene17049",7,18,12,21
"Gene17050",6,28,9,14
"Gene17051",8,14,21,12
"Gene17052",5,3,7,7
"Gene17053",10,7,16,16
"Gene17054",13,7,11,14
"Gene17055",9,11,17,7
"Gene17056",11,17,12,10
"Gene17057",25,15,23,10
"Gene17058",12,16,17,29
"Gene17059",17,14,4,29
"Gene17060",14,16,12,3
"Gene17061",10,10,9,4
"Gene17062",28,13,13,8
"Gene17063",16,10,6,15
"Gene17064",9,12,11,7
"Gene17065",9,4,13,13
"Gene17066",5,9,9,19
"Gene17067",12,8,16,23
